Q,A,label
고민만 한다는 것 아닐까요.,물음표,0
두꺼비집 내려 갔는지 살펴 보세요.,물음표,0
궁금하네요.,물음표,1
그게 제일 중요한 건데요.,물음표,0
그러면 인생이 재미없지 않을까요.,물음표,0
기분만 그럴 수도 있어요.,물음표,0
기술이 발전하면 가능하겠죠.,물음표,0
끝일지도 몰라요.,물음표,1
누가 욕하고 있나 봐요.,물음표,0
누구랑 먹느냐에 따라 다르겠죠.,물음표,0
누구세요?,물음표,0
눈 내리는 게 싫은가 봐요.,물음표,0
대하는 태도에 따라 다를 것 같아요.,물음표,0
도망가라는 건가요.,물음표,0
마음도 추운가요.,물음표,1
말투는 바꿀 수 있을 텐데 성격이 별로라면 문제겠네요.,물음표,0
무슨 이유인지 생각해보세요.,물음표,0
뭐라고 대답할지 고민이에요.,물음표,0
뭘 꿨는지 궁금하네요.,물음표,0
복잡하네요.,물음표,1
비가 오려나요.,물음표,0
선생님이요?,물음표,0
설마 기억 못하시는 거예요?,물음표,0
스트레스 받으시는 일 있으신가요?,물음표,0
아직 서로에 대해 잘 모르잖아요,물음표,2
알면 제가 하죠.,물음표,0
어떤 생각인지 궁금해요.,물음표,1
어떻게 도와드리면 좋을까요.,물음표,1
어머어머 궁금하네요.,물음표,0
어째서일까요.,물음표,1
어쩌면 좋을까요.,물음표,1
어찌하면 좋을까요.,물음표,1
언젠가는 생기지 않을까요.,물음표,0
오늘 같은 날?,물음표,1
왜 그럴까요?,물음표,0
왜일까요?,물음표,0
자세히 말씀해주세요.,물음표,0
자세히 말해주세요.,물음표,1
저 나가면 될까요?,물음표,0
저도 궁금하네요.,물음표,0
저도 궁금해요.,물음표,0
저도 모르겠어요.,물음표,0
저도 모르는 게 많아요.,물음표,0
저도 몰랐어요.,물음표,0
정말인가요?,물음표,2
증명하는 게 쉽지 않겠어요.,물음표,0
지금은 아닌가요.,물음표,1
진심인가요?,물음표,2
진짜 모르는 걸 수도 있어요.,물음표,0
차가 필요한 일이 있으신가봐요.,물음표,0
체력에 따라 다를 것 같아요.,물음표,0
친구도 잘 몰라요.,물음표,0
커피에 너무 의존하는 것 아닌가요.,물음표,0
평소의 행실을 되돌아보세요.,물음표,0
필요한 게 너무 많죠.,물음표,0
한 가지만 보면 몰라요.,물음표,0
호의인지 호감인지 헷갈리나요?,물음표,0
혼자만 힘든 게 낫지 않을까요.,물음표,1
1년 힘내요.,화이팅,0
가기 싫어도 가야겠죠.,화이팅,0
가세요.,화이팅,0
가슴 아픈 만큼 행복해지세요.,화이팅,1
간절한 만큼 할 수 있을 거예요.,화이팅,0
같은 조가 되길 바랄게요.,화이팅,0
걱정하지 마세요. 잘할 거예요.,화이팅,0
견디기 힘들겠어요.,화이팅,1
결정하기 힘드시겠네요.,화이팅,0
경쟁이 점점 치열하죠.,화이팅,0
계획대로 되는 건 없어요.,화이팅,0
고민은 누구나 해요.,화이팅,0
고민이 되시겠어요.,화이팅,1
고민이 많은가 봅니다.,화이팅,0
고민이 많은가 봐요.,화이팅,0
고민이 있나 봐요.,화이팅,0
고민하고 있다면 그게 맞을거예요.,화이팅,1
고칠 점은 고치면서 조금만 더 버텨보세요.,화이팅,0
고통의 연속이기도 하죠.,화이팅,1
곧 끝나길 바랄게요.,화이팅,0
곧 방학이에요.,화이팅,0
곧 지나갑니다.,화이팅,0
곧 할 수 있을 거예요.,화이팅,0
공부 열심히 하고 신청해보세요.,화이팅,0
관리하는 게 쉽지 않아요.,화이팅,0
괜찮아요. 그럴수도 있죠.,화이팅,0
괜찮아요. 다음에 가져가면 되죠.,화이팅,0
괴로울만 해요.,화이팅,1
군대 시계는 멈추지 않아요.,화이팅,0
귀차니즘을 극복 하셔야해요.,화이팅,0
그것도 다 경험이라고 생각하세요.,화이팅,0
그 때가 고비예요. 한 번 참아보세요.,화이팅,0
그건 습관이에요.,화이팅,0
그게 제일 힘들어요.,화이팅,2
그게 힘들죠.,화이팅,1
그냥 잊어버리세요.,화이팅,0
그대로 돌아올지도 몰라요. 그저 무시하세요.,화이팅,1
그대로인 건 없어요.,화이팅,1
그래도 넘을 수 있을 거예요.,화이팅,0
그래도 살아요.,화이팅,1
그렇게 무뎌지는가봐요.,화이팅,1
그렇게 살아가곤 해요.,화이팅,1
그리고 멈출 거예요.,화이팅,1
금방 지나갈 거예요.,화이팅,1
금방 찾으실 수 있을 거예요.,화이팅,0
기다리는 거 힘들죠.,화이팅,1
기다리는 동안 많은 생각이 들었겠네요.,화이팅,0
기다리는 전화가 있나 봐요.,화이팅,0
기대가 높으면 실망을 하죠.,화이팅,0
기대를 조금씩 버려보세요.,화이팅,1
기분이 좀 풀렸길 바랍니다.,화이팅,1
기회가 다시 올 거예요.,화이팅,0
길지 않길 바랄게요.,화이팅,1
꾸준히 약 먹고 치료해보세요.,화이팅,0
꾸준히 치료하세요.,화이팅,0
끝이 보이지 않아 더 힘들거예요.,화이팅,1
남의 돈 버는 게 쉽지 않아요.,화이팅,0
다음 달에는 더 절약해봐요.,화이팅,0
다음 학기를 노려보세요.,화이팅,0
다음 학기에는 들어갈 수 있을거예요.,화이팅,0
다이어트 파이팅!,화이팅,0
많이 긴장되겠어요.,화이팅,0
많이 힘들지 않길 바랄게요.,화이팅,1
바빠도 힘내세요!,화이팅,0
상처가 아물길 바랄게요.,화이팅,1
아니에요. 너무 자책하지 마세요.,화이팅,0
안타깝네요. 증거를 지금이라도 모아봐요.,화이팅,0
어깨 꾹꾹 해드리고 싶어요.,화이팅,0
어깨 꾹꾹! 힘내세요,화이팅,0
어떤 말도 위로가 되지 않겠지만 힘내세요.,화이팅,1
억울함이 풀리길 바랄게요.,화이팅,1
얼른 집에 가서 쉬시길 바랄게요.,화이팅,0
